D_e (mm),D_i (mm),I_o (mm),t (mm),E,mu,s (mm),F (N),Stress_OM (Mpa),Stress_1 (Mpa),Stress_2 (Mpa),Stress_3 (Mpa),Stress_4 (Mpa)
210.0,117.0,6.3,2.1,210000.0,0.3,3.1499999999999995,1540.7616963075006,205.3122680012495,593.9447138263697,66.91781539943527,-4.951876099473145,-1.8430102372690704
205.0,116.0,5.1960000000000015,1.0,210000.0,0.3,3.147000000000001,407.9415490664398,103.8536988868797,472.2683841160372,192.4617834043967,-4.414275215443031,-2.8306385253656345
205.0,116.0,6.0,4.0,210000.0,0.3,1.5,3447.2021229474603,198.0051456375208,342.2970770530949,-1.4644190439814924,-2.332648830283025,99.33610375740966
205.0,116.0,9.0,4.0,210000.0,0.3,3.75,10318.9274075072,495.01286409380197,1138.8795073806345,6.839167920094564,-8.917818213301095,54.72695088702907
