D_e (mm),D_i (mm),I_o (mm),t (mm),E,mu,s (mm),F (N),Stress_OM (Mpa),Stress_1 (Mpa),Stress_2 (Mpa),Stress_3 (Mpa),Stress_4 (Mpa)
210,117,6.3,2.1,210000,0.3,3.15,1540.7616963075,205.312268001249,593.94471382637,66.9178153994353,-4.95187609947315,-1.84301023726907
205,116,5.196,1,210000,0.3,3.147,407.94154906644,103.85369888688,472.268384116037,192.461783404397,-4.41427521544303,-2.83063852536563
205,116,6,4,210000,0.3,1.5,3447.20212294746,198.005145637521,342.297077053095,-1.46441904398149,-2.33264883028302,99.3361037574097
205,116,9,4,210000,0.3,1.5,,,,,,
